50 120 480 1250
18743550 10 0 18830765 513
18678013 10 0 18830765 512
18612476 10 0 18830765 512
18612475 10 0 18830781 512
18546938 10 0 18830781 512
18481401 10 0 18830781 512
18481399 10 0 18830781 512
18415862 10 0 18830781 512
18415861 10 0 18830781 512
18415859 10 0 18830781 512
18350322 10 0 18830796 512
18350321 10 0 18830796 512
18284784 10 0 18830796 512
18284781 10 0 18830796 512
18219243 10 0 18830796 512
18219242 10 0 18830796 512
18153704 10 0 18830812 512
18153703 10 0 18830812 512
18153702 10 0 18830812 512
18153701 10 0 18830812 512
18153699 10 0 18830812 512
18153698 10 0 18830812 512
18088159 10 0 18830812 512
18088158 10 0 18830828 512
18088155 10 0 18830828 512
18088153 10 0 18830828 512
18088151 10 0 18830828 512
18088150 10 0 18830828 512
18088148 10 0 18830828 512
18088147 10 0 18830828 512
18153680 10 0 18830828 512
18219215 10 0 18830843 512
18219214 10 0 18830843 512
18284748 10 0 18830843 512
18350283 10 0 18830843 512
18350281 10 0 18830843 512
18415816 10 0 18830843 512
18481351 10 0 18830843 512
18481350 10 0 18830843 512
18546884 10 0 18830859 512
18612420 10 0 18830859 512
18612419 10 0 18830859 512
18677954 10 0 18830859 512
18677953 10 0 18830859 512
18809024 10 0 18830859 512
18874559 10 0 18830859 512
19005630 10 0 18830875 512
19136700 10 0 18830875 512
19202236 10 0 18830875 512
19267771 10 0 18830875 512
19398842 10 0 18830875 512
19529914 10 0 18830875 512
19660985 10 0 18830875 512
19792056 10 0 18830875 512
19923127 10 0 18830890 512
20119735 10 0 18830890 512
20185271 10 0 18830890 512
20250806 10 0 18830890 512
20381878 10 0 18830890 512
20578486 10 0 18830890 512
20906165 10 0 18830890 512
21102773 10 0 18830906 512
21430452 10 0 18830906 512
21495988 10 0 18830906 512
21692596 10 0 18830906 512
21889204 10 0 18830906 512
22216884 10 0 18830906 512
22347956 10 0 18830906 512
22479028 10 0 18830906 512
22610100 10 0 18830921 512
22872245 10 0 18830921 512
22937781 10 0 18830921 512
23068854 10 0 18830921 512
23330999 10 0 18830921 512
23462073 10 0 18830921 512
23593146 10 0 18830921 512
23658683 10 0 18830937 512
23724220 10 0 18830937 512
23724221 10 0 18830937 512
23855294 10 0 18830937 512
23855296 10 0 18830937 512
24051906 10 0 18830937 512
24051907 10 0 18830937 512
24117444 10 0 18830953 512
24182982 10 0 18830953 512
24182985 10 0 18830953 512
24182986 10 0 18830953 512
24248524 10 0 18830953 512
24314062 10 0 18830953 512
24379601 10 0 18830953 512
24379602 10 0 18830953 512
24379604 10 0 18830968 512
24379606 10 0 18830968 512
24379610 10 0 18830968 512
24379611 10 0 18830968 512
24379614 10 0 18830968 512
24379616 10 0 18830968 512
24379619 10 0 18830968 512
24379621 10 0 18830968 512
24379624 10 0 18830984 512
24379626 10 0 18830984 512
24379632 10 0 18830984 512
24379633 10 0 18830984 512
24314100 10 0 18830984 512
24248566 10 0 18830984 512
24183033 10 0 18830984 512
24183035 10 0 18830984 512
24051967 10 0 18831000 512
23986433 10 0 18831000 512
23920899 10 0 18831000 512
23855365 10 0 18831000 512
23593227 10 0 18831000 512
23462158 10 0 18831000 512
23462159 10 0 18831000 512
23396625 10 0 18831015 512
23265554 10 0 18831015 512
23068950 10 0 18831015 512
23003414 10 0 18831015 512
22937879 10 0 18831015 512
22872343 10 0 18831015 512
22741273 10 0 18831015 512
22610203 10 0 18831015 512
22479133 10 0 18831031 512
22282526 10 0 18831031 512
22151455 10 0 18831031 512
22020384 10 0 18831031 512
21954848 10 0 18831031 512
21758241 10 0 18831031 512
21627169 10 0 18831031 512
21496097 10 0 18831046 512
21365025 10 0 18831046 512
21233953 10 0 18831046 512
21037345 10 0 18831046 512
20906273 10 0 18831046 512
20709665 10 0 18831046 512
20513056 10 0 18831046 512
20316447 10 0 18831046 512
20119838 10 0 18831062 512
19923229 10 0 18831062 512
19726619 10 0 18831062 512
19333400 10 0 18831062 512
19202327 10 0 18831062 512
19071253 10 0 18831062 512
18874644 10 0 18831062 512
18546961 10 0 18831062 512
18481424 10 0 18831078 512
18350351 10 0 18831078 512
18219277 10 0 18831078 512
18153740 10 0 18831078 512
18088202 10 0 18831078 512
18022665 10 0 18831078 512
17957128 10 0 18831078 512
